の,no (noh),possessive particle (like 's); connects nouns,私の本です。 (It's my book.)
に,ni (nee),direction particle (to/at/in); location/time,学校に行きます。 (I go to school.)
は,wa (wah),topic marker particle,私は学生です。 (I am a student.)
て,te (teh),verb connector (and/then/also),食べて寝ます。 (I eat and then sleep.)
を,wo (oh),object marker particle,水を飲みます。 (I drink water.)
が,ga (gah),subject marker particle,猫がいます。 (There is a cat.)
だ,da (dah),casual copula (informal is/am/are),これは本だ。 (This is a book.)
た,ta (tah),past tense marker,食べた。 (I ate.)
する,suru (soo-roo),to do,勉強する。 (I study.)
と,to (toh),and (connects nouns); with; quotation marker,犬と猫 (dog and cat)
ます,masu (mah-soo),polite verb ending,食べます。 (I eat.)
で,de (deh),location particle (at/in); by means of,家で食べます。 (I eat at home.)
ない,nai (nah-ee),negative (not, don't)
いる,iru (ee-roo),to exist (living things),友達がいる。 (I have a friend.)
も,mo (moh),also, too
ある,aru (ah-roo),to exist (non-living things),本がある。 (There is a book.)
です,desu (deh-soo),polite copula (is/am/are),私は学生です。 (I am a student.)
こと,koto (koh-toh),thing (abstract); fact,食べることが好きです。 (I like eating.)
か,ka (kah),question particle,元気ですか？ (Are you well?)
なる,naru (nah-roo),to become,大人になる。 (To become an adult.)
れる,reru (reh-roo),passive/potential ending,食べられる。 (Can be eaten.)
から,kara (kah-rah),from; because; since,日本から来ました。 (I came from Japan.)
ん,n (nn),explanatory particle,行くんです。 ((It's that) I'm going.)
よう,you (yoh),way; manner; appearance,子供のようだ。 (It's like a child.)
いう,iu (ee-oo),to say; to call,何という名前ですか？ (What is your name called?)
う,u (oo),volitional ending (let's),食べよう！ (Let's eat!)
『,opening double bracket,book titles,
』,closing double bracket,book titles,
人,hito (hee-toh),person; people,あの人は誰ですか？ (Who is that person?)
この,kono (koh-noh),this (before nouns),この本は面白い。 (This book is interesting.)
という,to iu (toh-ee-oo),called; named; that,田中という人 (a person called Tanaka)
思う,omou (oh-moh-oo),to think; to feel,いいと思う。 (I think it's good.)
その,sono (soh-noh),that (near listener); its,その本をください。 (Please give me that book.)
的,teki (teh-kee),-like; -ish (makes adjectives),日本的 (Japanese-style)
年,nen/toshi (nehn),year,今年は2025年です。 (This year is 2025.)
日,hi/nichi (hee/nee-chee),day; sun,今日はいい日です。 (Today is a good day.)
私,watashi (wah-tah-shee),I; me,私は田中です。 (I am Tanaka.)
もの,mono (moh-noh),thing (concrete); person,好きなものは何ですか？ (What things do you like?)
や,ya (yah),and (non-exhaustive list),りんごやみかん (apples
ば,ba (bah),conditional (if),食べれば元気になる。 (If you eat
それ,sore (soh-reh),that (near listener),それは何ですか？ (What is that?)
者,mono/sha (moh-noh/shah),person (formal),研究者 (researcher)
できる,dekiru (deh-kee-roo),can do; able to,日本語ができます。 (I can speak Japanese.)
これ,kore (koh-reh),this (near speaker),これは私の本です。 (This is my book.)
言う,iu (ee-oo),to say (kanji form),何と言いましたか？ (What did you say?)
くる,kuru (koo-roo),to come,明日来ます。 (I'll come tomorrow.)
月,tsuki/getsu (tsoo-kee/geh-tsoo),moon; month,今月は忙しい。 (This month is busy.)
として,toshite (toh-shee-teh),as (role),学生として働く。 (To work as a student.)
さん,san (sahn),Mr./Ms./Mrs.,田中さんは先生です。 (Mr. Tanaka is a teacher.)
まで,made (mah-deh),until; up to,5時まで働きます。 (I work until 5.)
たい,tai (tah-ee),want to,食べたい！ (I want to eat!)
など,nado (nah-doh),etc.; such as,りんごなどが好きです。 (I like apples etc.)
中,naka (nah-kah),inside; middle,家の中にいます。 (I'm inside the house.)
られる,rareru (rah-reh-roo),potential/passive,見られる。 (Can be seen.)
お,o (oh),honorific prefix,お水をください。 (Please give me water.)
ね,ne (neh),sentence ending (right?),いい天気ですね。 (Nice weather
へ,e (eh),to (direction),日本へ行きます。 (I'm going to Japan.)
見る,miru (mee-roo),to see; look; watch,映画を見ます。 (I watch a movie.)
ため,tame (tah-meh),for; sake of,健康のために運動する。 (Exercise for health.)
？,question mark,optional in Japanese,
てる,teru (teh-roo),is doing (casual),食べてる。 (I'm eating.)
そう,sou (soh),that way; it seems,そうですね。 (That's right.)
